"ID","class","probability","confidence"
"120619_O1_1000_1.txt","PS",0.562,"very low confidence"
"120619_O1_1000_2.txt","PVC",0.788,"medium confidence"
"120619_O1_1000_3.txt","PE",0.376,"no confidence"
"120619_O1_300_10.txt","PVC",0.328,"no confidence"
"120619_O1_300_11.txt","PE",0.456,"no confidence"
"120619_O1_300_12.txt","PE",0.394,"no confidence"
"120619_O1_300_13.txt","PE",0.404,"no confidence"
"120619_O1_300_14.txt","PVC",0.806,"high confidence"
"120619_O1_300_15.txt","PE",0.45,"no confidence"
"120619_O1_300_16.txt","PE",0.382,"no confidence"
"120619_O1_300_17.txt","ABS",0.3,"no confidence"
"120619_O1_300_18.txt","PE",0.504,"very low confidence"
"120619_O1_300_19.txt","PE",0.398,"no confidence"
"120619_O1_300_1.txt","PVC",0.552,"very low confidence"
"120619_O1_300_20.txt","PE",0.322,"no confidence"
"120619_O1_300_21.txt","PE",0.344,"no confidence"
"120619_O1_300_22.txt","PVC",0.344,"no confidence"
"120619_O1_300_23.txt","PE",0.39,"no confidence"
"120619_O1_300_24.txt","PVC",0.796,"medium confidence"
"120619_O1_300_25.txt","PE",0.4,"no confidence"
"120619_O1_300_26.txt","PE",0.42,"no confidence"
"120619_O1_300_27.txt","PVC",0.804,"high confidence"
"120619_O1_300_28.txt","PVC",0.374,"no confidence"
"120619_O1_300_29.txt","PE",0.45,"no confidence"
"120619_O1_300_2.txt","PVC",0.418,"no confidence"
"120619_O1_300_30.txt","PP",0.676,"low confidence"
"120619_O1_300_3.txt","PE",0.382,"no confidence"
"120619_O1_300_4.txt","PVC",0.636,"low confidence"
"120619_O1_300_5.txt","ABS",0.33,"no confidence"
"120619_O1_300_6.txt","PVC",0.726,"medium confidence"
"120619_O1_300_7.txt","PE",0.394,"no confidence"
"120619_O1_300_8.txt","PE",0.332,"no confidence"
"120619_O1_300_9.txt","PE",0.386,"no confidence"
"120619_O1_500_10.txt","PVC",0.382,"no confidence"
"120619_O1_500_11.txt","PE",0.356,"no confidence"
"120619_O1_500_12.txt","PVC",0.768,"medium confidence"
"120619_O1_500_13.txt","PVC",0.548,"very low confidence"
"120619_O1_500_14.txt","PS",0.696,"low confidence"
"120619_O1_500_15.txt","PE",0.29,"no confidence"
"120619_O1_500_16.txt","PE",0.478,"no confidence"
"120619_O1_500_17.txt","PVC",0.556,"very low confidence"
"120619_O1_500_18.txt","PVC",0.67,"low confidence"
"120619_O1_500_19.txt","PP",0.396,"no confidence"
"120619_O1_500_1.txt","PVC",0.822,"high confidence"
"120619_O1_500_20.txt","PP",0.63,"low confidence"
"120619_O1_500_2.txt","PP",0.396,"no confidence"
"120619_O1_500_3.txt","PVC",0.376,"no confidence"
"120619_O1_500_4.txt","PE",0.472,"no confidence"
"120619_O1_500_5.txt","PE",0.472,"no confidence"
"120619_O1_500_6.txt","PS",0.732,"medium confidence"
"120619_O1_500_7.txt","PE",0.394,"no confidence"
"120619_O1_500_8.txt","PP",0.396,"no confidence"
"120619_O1_500_9.txt","PVC",0.388,"no confidence"
