"ID","class","probability","confidence"
"120619_O1_1000_1.txt","PS",0.314,"no confidence"
"120619_O1_1000_2.txt","PA",0.332,"no confidence"
"120619_O1_1000_3.txt","PC",0.184,"no confidence"
"120619_O1_300_10.txt","PET",0.186,"no confidence"
"120619_O1_300_10.txt","PVC",0.186,"no confidence"
"120619_O1_300_11.txt","PP",0.26,"no confidence"
"120619_O1_300_12.txt","PP",0.168,"no confidence"
"120619_O1_300_13.txt","PP",0.18,"no confidence"
"120619_O1_300_14.txt","PP",0.288,"no confidence"
"120619_O1_300_15.txt","PVC",0.152,"no confidence"
"120619_O1_300_16.txt","PVC",0.244,"no confidence"
"120619_O1_300_17.txt","ABS",0.194,"no confidence"
"120619_O1_300_18.txt","PP",0.166,"no confidence"
"120619_O1_300_19.txt","PP",0.27,"no confidence"
"120619_O1_300_1.txt","PP",0.388,"no confidence"
"120619_O1_300_20.txt","PA",0.318,"no confidence"
"120619_O1_300_21.txt","PE",0.422,"no confidence"
"120619_O1_300_22.txt","PVC",0.392,"no confidence"
"120619_O1_300_23.txt","PVC",0.21,"no confidence"
"120619_O1_300_24.txt","PP",0.48,"no confidence"
"120619_O1_300_25.txt","PP",0.202,"no confidence"
"120619_O1_300_26.txt","PC",0.198,"no confidence"
"120619_O1_300_27.txt","PP",0.396,"no confidence"
"120619_O1_300_28.txt","PET",0.204,"no confidence"
"120619_O1_300_29.txt","PE",0.184,"no confidence"
"120619_O1_300_2.txt","PA",0.522,"very low confidence"
"120619_O1_300_30.txt","PMMA",0.352,"no confidence"
"120619_O1_300_3.txt","PC",0.208,"no confidence"
"120619_O1_300_4.txt","PP",0.21,"no confidence"
"120619_O1_300_5.txt","PP",0.218,"no confidence"
"120619_O1_300_6.txt","PMMA",0.262,"no confidence"
"120619_O1_300_7.txt","PP",0.166,"no confidence"
"120619_O1_300_8.txt","PMMA",0.348,"no confidence"
"120619_O1_300_9.txt","PC",0.198,"no confidence"
"120619_O1_500_10.txt","PP",0.168,"no confidence"
"120619_O1_500_11.txt","PVC",0.31,"no confidence"
"120619_O1_500_12.txt","PP",0.322,"no confidence"
"120619_O1_500_13.txt","PP",0.326,"no confidence"
"120619_O1_500_14.txt","PS",0.392,"no confidence"
"120619_O1_500_15.txt","PMMA",0.248,"no confidence"
"120619_O1_500_16.txt","PVC",0.292,"no confidence"
"120619_O1_500_17.txt","PP",0.274,"no confidence"
"120619_O1_500_18.txt","PP",0.228,"no confidence"
"120619_O1_500_19.txt","PA",0.436,"no confidence"
"120619_O1_500_1.txt","PP",0.408,"no confidence"
"120619_O1_500_20.txt","PMMA",0.364,"no confidence"
"120619_O1_500_2.txt","PA",0.404,"no confidence"
"120619_O1_500_3.txt","PC",0.158,"no confidence"
"120619_O1_500_4.txt","PVC",0.338,"no confidence"
"120619_O1_500_5.txt","PE",0.206,"no confidence"
"120619_O1_500_6.txt","PS",0.426,"no confidence"
"120619_O1_500_7.txt","PE",0.33,"no confidence"
"120619_O1_500_8.txt","PVC",0.188,"no confidence"
"120619_O1_500_9.txt","PP",0.23,"no confidence"
