"ID","class","probability","confidence"
"120619_O1_1000_1.txt","PS",0.736,"medium confidence"
"120619_O1_1000_2.txt","PVC",0.26,"no confidence"
"120619_O1_1000_3.txt","PE",0.698,"low confidence"
"120619_O1_300_10.txt","FIBRE",0.396,"no confidence"
"120619_O1_300_11.txt","PE",0.55,"very low confidence"
"120619_O1_300_12.txt","PE",0.712,"medium confidence"
"120619_O1_300_13.txt","PE",0.72,"medium confidence"
"120619_O1_300_14.txt","PVC",0.466,"no confidence"
"120619_O1_300_15.txt","PE",0.678,"low confidence"
"120619_O1_300_16.txt","PE",0.308,"no confidence"
"120619_O1_300_17.txt","PP",0.686,"low confidence"
"120619_O1_300_18.txt","PE",0.75,"medium confidence"
"120619_O1_300_19.txt","PE",0.46,"no confidence"
"120619_O1_300_1.txt","PVC",0.466,"no confidence"
"120619_O1_300_20.txt","PA",0.166,"no confidence"
"120619_O1_300_21.txt","PE",0.702,"medium confidence"
"120619_O1_300_22.txt","FIBRE",0.516,"very low confidence"
"120619_O1_300_23.txt","PE",0.754,"medium confidence"
"120619_O1_300_24.txt","PVC",0.62,"low confidence"
"120619_O1_300_25.txt","PE",0.668,"low confidence"
"120619_O1_300_26.txt","PVC",0.27,"no confidence"
"120619_O1_300_27.txt","PVC",0.556,"very low confidence"
"120619_O1_300_28.txt","PE",0.688,"low confidence"
"120619_O1_300_29.txt","PE",0.672,"low confidence"
"120619_O1_300_2.txt","PS",0.27,"no confidence"
"120619_O1_300_30.txt","PA",0.308,"no confidence"
"120619_O1_300_3.txt","PE",0.746,"medium confidence"
"120619_O1_300_4.txt","PP",0.306,"no confidence"
"120619_O1_300_5.txt","PP",0.742,"medium confidence"
"120619_O1_300_6.txt","PA",0.19,"no confidence"
"120619_O1_300_7.txt","PE",0.648,"low confidence"
"120619_O1_300_8.txt","PA",0.264,"no confidence"
"120619_O1_300_9.txt","PE",0.692,"low confidence"
"120619_O1_500_10.txt","PE",0.706,"medium confidence"
"120619_O1_500_11.txt","PE",0.766,"medium confidence"
"120619_O1_500_12.txt","PP",0.416,"no confidence"
"120619_O1_500_13.txt","PVC",0.38,"no confidence"
"120619_O1_500_14.txt","PS",0.762,"medium confidence"
"120619_O1_500_15.txt","PA",0.276,"no confidence"
"120619_O1_500_16.txt","PE",0.744,"medium confidence"
"120619_O1_500_17.txt","PS",0.296,"no confidence"
"120619_O1_500_18.txt","PP",0.386,"no confidence"
"120619_O1_500_19.txt","PS",0.248,"no confidence"
"120619_O1_500_1.txt","PVC",0.636,"low confidence"
"120619_O1_500_20.txt","PA",0.342,"no confidence"
"120619_O1_500_2.txt","FUR",0.374,"no confidence"
"120619_O1_500_3.txt","PE",0.274,"no confidence"
"120619_O1_500_4.txt","PE",0.766,"medium confidence"
"120619_O1_500_5.txt","PE",0.752,"medium confidence"
"120619_O1_500_6.txt","PS",0.886,"high confidence"
"120619_O1_500_7.txt","PE",0.694,"low confidence"
"120619_O1_500_8.txt","PE",0.508,"very low confidence"
"120619_O1_500_9.txt","PS",0.194,"no confidence"
