"ID","class","probability","confidence"
"120619_O1_1000_1.txt","PS",0.53,"very low confidence"
"120619_O1_1000_2.txt","PVC",0.215,"no confidence"
"120619_O1_1000_3.txt","PE",0.3885,"no confidence"
"120619_O1_300_1.txt","PVC",0.284,"no confidence"
"120619_O1_300_10.txt","FIBRE",0.2965,"no confidence"
"120619_O1_300_11.txt","PE",0.3105,"no confidence"
"120619_O1_300_12.txt","PE",0.424,"no confidence"
"120619_O1_300_13.txt","PE",0.43,"no confidence"
"120619_O1_300_14.txt","PVC",0.3045,"no confidence"
"120619_O1_300_15.txt","PE",0.405,"no confidence"
"120619_O1_300_16.txt","PE",0.168,"no confidence"
"120619_O1_300_17.txt","PP",0.464,"no confidence"
"120619_O1_300_18.txt","PE",0.4385,"no confidence"
"120619_O1_300_19.txt","PE",0.288,"no confidence"
"120619_O1_300_2.txt","PA",0.305,"no confidence"
"120619_O1_300_20.txt","PA",0.15,"no confidence"
"120619_O1_300_21.txt","PE",0.5165,"very low confidence"
"120619_O1_300_22.txt","FIBRE",0.352,"no confidence"
"120619_O1_300_23.txt","PE",0.423,"no confidence"
"120619_O1_300_24.txt","PVC",0.4005,"no confidence"
"120619_O1_300_25.txt","PE",0.429,"no confidence"
"120619_O1_300_26.txt","PVC",0.195,"no confidence"
"120619_O1_300_27.txt","PVC",0.365,"no confidence"
"120619_O1_300_28.txt","PE",0.516,"very low confidence"
"120619_O1_300_29.txt","PE",0.402,"no confidence"
"120619_O1_300_3.txt","PE",0.4695,"no confidence"
"120619_O1_300_30.txt","PA",0.1755,"no confidence"
"120619_O1_300_4.txt","PVC",0.2145,"no confidence"
"120619_O1_300_5.txt","PP",0.499,"no confidence"
"120619_O1_300_6.txt","PA",0.122,"no confidence"
"120619_O1_300_7.txt","PE",0.3575,"no confidence"
"120619_O1_300_8.txt","PA",0.1445,"no confidence"
"120619_O1_300_9.txt","PE",0.389,"no confidence"
"120619_O1_500_1.txt","PVC",0.4135,"no confidence"
"120619_O1_500_10.txt","PE",0.393,"no confidence"
"120619_O1_500_11.txt","PE",0.4755,"no confidence"
"120619_O1_500_12.txt","PP",0.3195,"no confidence"
"120619_O1_500_13.txt","PVC",0.291,"no confidence"
"120619_O1_500_14.txt","PS",0.5725,"very low confidence"
"120619_O1_500_15.txt","PES",0.168,"no confidence"
"120619_O1_500_16.txt","PE",0.5295,"very low confidence"
"120619_O1_500_17.txt","PS",0.1905,"no confidence"
"120619_O1_500_18.txt","PP",0.2195,"no confidence"
"120619_O1_500_19.txt","PA",0.21,"no confidence"
"120619_O1_500_2.txt","FUR",0.202,"no confidence"
"120619_O1_500_20.txt","PA",0.2095,"no confidence"
"120619_O1_500_3.txt","PE",0.1675,"no confidence"
"120619_O1_500_4.txt","PE",0.531,"very low confidence"
"120619_O1_500_5.txt","PE",0.4025,"no confidence"
"120619_O1_500_6.txt","PS",0.574,"very low confidence"
"120619_O1_500_7.txt","PE",0.484,"no confidence"
"120619_O1_500_8.txt","PE",0.327,"no confidence"
"120619_O1_500_9.txt","PVC",0.138,"no confidence"
